Time,Amount,Class,hour_of_day,day_index,is_off_hours,amount_bucket,behavioral_outlier_count,severe_outlier_count,behavioral_peak_abs,extreme_behavior_flag,rule_decision,rule_decision_reason,risk_score,score_decision,score_decision_reason,score_reason_detail
107983.0,3400.0,0,5,1,1,very_high,9,3,10.3562396705787,1,REVIEW,Strong anomaly pattern requires analyst review,81,REJECT,Extreme behavior spike pushed score above reject threshold,"strong anomaly count, extreme feature spike, cluster of severe anomalies"
17915.0,1264.35,0,4,0,1,very_high,9,3,10.2493372427413,1,REVIEW,Strong anomaly pattern requires analyst review,81,REJECT,Extreme behavior spike pushed score above reject threshold,"strong anomaly count, extreme feature spike, cluster of severe anomalies"
103.0,3828.04,0,0,0,1,very_high,8,4,12.1142127363483,1,REVIEW,Strong anomaly pattern requires analyst review,81,REJECT,Extreme behavior spike pushed score above reject threshold,"strong anomaly count, extreme feature spike, cluster of severe anomalies"
1698.0,3669.0,0,0,0,1,very_high,8,3,11.7549746404265,1,REVIEW,Strong anomaly pattern requires analyst review,81,REJECT,Extreme behavior spike pushed score above reject threshold,"strong anomaly count, extreme feature spike, cluster of severe anomalies"
10538.0,3995.92,0,2,0,1,very_high,7,4,13.6304494248752,1,REVIEW,Extreme feature movement requires analyst review,81,REJECT,Extreme behavior spike pushed score above reject threshold,"strong anomaly count, extreme feature spike, cluster of severe anomalies"
101506.0,3026.52,0,4,1,1,very_high,7,4,13.5902241049126,1,REVIEW,Extreme feature movement requires analyst review,81,REJECT,Extreme behavior spike pushed score above reject threshold,"strong anomaly count, extreme feature spike, cluster of severe anomalies"
19468.0,1912.89,0,5,0,1,very_high,7,3,8.38662852453913,1,REVIEW,Extreme feature movement requires analyst review,81,REJECT,Extreme behavior spike pushed score above reject threshold,"strong anomaly count, extreme feature spike, cluster of severe anomalies"
87620.0,981.16,0,0,1,1,high,9,4,16.9549112845509,1,REVIEW,Strong anomaly pattern requires analyst review,77,REJECT,Extreme behavior spike pushed score above reject threshold,"strong anomaly count, extreme feature spike, cluster of severe anomalies"
10464.0,760.66,0,2,0,1,high,8,3,10.5831616220034,1,REVIEW,Strong anomaly pattern requires analyst review,77,REJECT,Extreme behavior spike pushed score above reject threshold,"strong anomaly count, extreme feature spike, cluster of severe anomalies"
10529.0,760.66,0,2,0,1,high,8,4,13.2248555815179,1,REVIEW,Strong anomaly pattern requires analyst review,77,REJECT,Extreme behavior spike pushed score above reject threshold,"strong anomaly count, extreme feature spike, cluster of severe anomalies"
44045.0,5680.0,0,12,0,0,very_high,9,7,18.7933291777243,1,REVIEW,Strong anomaly pattern requires analyst review,75,REJECT,Extreme behavior spike pushed score above reject threshold,"strong anomaly count, multiple severe anomalies, extreme feature spike"
79270.0,5667.56,0,22,0,0,very_high,9,6,18.998367727471,1,REVIEW,Strong anomaly pattern requires analyst review,75,REJECT,Extreme behavior spike pushed score above reject threshold,"strong anomaly count, multiple severe anomalies, extreme feature spike"
29601.0,5239.5,0,8,0,0,very_high,9,8,23.6118648994384,1,REVIEW,Strong anomaly pattern requires analyst review,75,REJECT,Extreme behavior spike pushed score above reject threshold,"strong anomaly count, multiple severe anomalies, extreme feature spike"
46570.0,5130.3,0,12,0,0,very_high,9,6,16.2627569160819,1,REVIEW,Strong anomaly pattern requires analyst review,75,REJECT,Extreme behavior spike pushed score above reject threshold,"strong anomaly count, multiple severe anomalies, extreme feature spike"
121916.0,82.27,0,9,1,0,low,7,5,6.24055613358882,0,APPROVE,No material risk flags under current policy,45,REVIEW,Strong anomaly stack requires analyst review,"strong anomaly count, multiple severe anomalies"
54609.0,50.0,0,15,0,0,low,7,3,6.25828352768354,0,APPROVE,No material risk flags under current policy,37,REVIEW,Strong anomaly stack requires analyst review,"strong anomaly count, cluster of severe anomalies"
133409.0,34.59,0,13,1,0,low,7,3,6.81879904936572,0,APPROVE,No material risk flags under current policy,37,REVIEW,Strong anomaly stack requires analyst review,"strong anomaly count, cluster of severe anomalies"
148868.0,10.62,0,17,1,0,micro,7,3,6.45910024024808,0,APPROVE,No material risk flags under current policy,37,REVIEW,Strong anomaly stack requires analyst review,"strong anomaly count, cluster of severe anomalies"
169733.0,9.77,0,23,1,0,micro,7,3,6.12539000436324,0,APPROVE,No material risk flags under current policy,37,REVIEW,Strong anomaly stack requires analyst review,"strong anomaly count, cluster of severe anomalies"
49744.0,8.22,0,13,0,0,micro,7,3,6.32435617933488,0,APPROVE,No material risk flags under current policy,37,REVIEW,Strong anomaly stack requires analyst review,"strong anomaly count, cluster of severe anomalies"
49804.0,4.78,0,13,0,0,micro,7,3,6.89072720832728,0,APPROVE,No material risk flags under current policy,37,REVIEW,Strong anomaly stack requires analyst review,"strong anomaly count, cluster of severe anomalies"
80642.0,3.54,0,22,0,0,micro,7,3,6.99814154271048,0,APPROVE,No material risk flags under current policy,37,REVIEW,Strong anomaly stack requires analyst review,"strong anomaly count, cluster of severe anomalies"
61713.0,3.15,0,17,0,0,micro,7,4,6.8073287837991,0,APPROVE,No material risk flags under current policy,37,REVIEW,Strong anomaly stack requires analyst review,"strong anomaly count, cluster of severe anomalies"
145571.0,2.72,0,16,1,0,micro,7,3,6.11676730729613,0,APPROVE,No material risk flags under current policy,37,REVIEW,Strong anomaly stack requires analyst review,"strong anomaly count, cluster of severe anomalies"
167846.0,1.99,0,22,1,0,micro,7,3,6.5959153845637,0,APPROVE,No material risk flags under current policy,37,REVIEW,Strong anomaly stack requires analyst review,"strong anomaly count, cluster of severe anomalies"
143830.0,1.79,0,15,1,0,micro,7,3,6.26684694459994,0,APPROVE,No material risk flags under current policy,37,REVIEW,Strong anomaly stack requires analyst review,"strong anomaly count, cluster of severe anomalies"
79348.0,1.58,0,22,0,0,micro,7,4,6.98074326768151,0,APPROVE,No material risk flags under current policy,37,REVIEW,Strong anomaly stack requires analyst review,"strong anomaly count, cluster of severe anomalies"
170382.0,1.39,0,23,1,0,micro,7,3,6.46352053855252,0,APPROVE,No material risk flags under current policy,37,REVIEW,Strong anomaly stack requires analyst review,"strong anomaly count, cluster of severe anomalies"
79104.0,1.18,0,21,0,0,micro,7,3,6.42518640871032,0,APPROVE,No material risk flags under current policy,37,REVIEW,Strong anomaly stack requires analyst review,"strong anomaly count, cluster of severe anomalies"
44953.0,1.0,0,12,0,0,micro,7,3,6.11297435782997,0,APPROVE,No material risk flags under current policy,37,REVIEW,Strong anomaly stack requires analyst review,"strong anomaly count, cluster of severe anomalies"
161418.0,1.0,0,20,1,0,micro,7,4,6.93427166064919,0,APPROVE,No material risk flags under current policy,37,REVIEW,Strong anomaly stack requires analyst review,"strong anomaly count, cluster of severe anomalies"
63766.0,0.89,0,17,0,0,micro,7,4,6.58584864728744,0,APPROVE,No material risk flags under current policy,37,REVIEW,Strong anomaly stack requires analyst review,"strong anomaly count, cluster of severe anomalies"
112262.0,37.07,0,7,1,0,low,6,5,6.88796177236752,0,APPROVE,No material risk flags under current policy,32,REVIEW,Risk score crossed review threshold,"multiple severe anomalies, moderate anomaly count"
106654.0,99.99,0,5,1,1,low,4,3,5.92325726237305,0,APPROVE,No material risk flags under current policy,32,REVIEW,Risk score crossed review threshold,"cluster of severe anomalies, moderate anomaly count, off-hours timing"
